accession	name_in_vcf	include_in_map	include_in_network	include_in_admixture	admixture_expanded	big_admix?	selection_scan_pop	admix_pop	network_color	population	latitude	longitude	ploidy_man_curated	nquire_ploidy	proportion_het%_NT1fin	Nb_S_groups_DB2022_man_curated	Species_fin	source	source_type	experimentaly_validated	snps_(2n)	collector,_comments	admix	twisst_Siberia	selection_test	est-sfs	demographic_modeling_pops							
al1_1	al1_1_4n	yes	yes	yes	yes	yes	CESiberia_4n	al	yellow	CESiberia_4n	69.13	94.04	4	4	0,51	3	A._lyrata	NT_batch1_2019	seeds		cohort1	Elena_Pospelova	y	CESiberia_4n	tetra	CESiberia_4n	CET							
al2_1	al2_1_4n	yes	yes	no	no	yes	CESiberia_4n	al	yellow	CESiberia_4n	69.13	94.04	4	4	0,53	3	A._lyrata	NT_batch1_2019	seeds		cohort1	Elena_Pospelova	y	CESiberia_4n	tetra		CET							
al3_1	al3_1_4n	yes	yes	yes	yes	yes	CESiberia_4n	al	yellow	CESiberia_4n	69.13	94.04	4	4	0,52	3	A._lyrata	NT_batch1_2019	seeds		cohort1	Elena_Pospelova	y	CESiberia_4n	tetra	CESiberia_4n	CET							
al4_1	al4_1_4n	yes	yes	yes	yes	yes	CESiberia_4n	al	yellow	CESiberia_4n	69.13	94.04	4	4	0,52	3	A._lyrata	NT_batch1_2019	seeds		cohort1	Elena_Pospelova	y	CESiberia_4n	tetra	CESiberia_4n	CET							
BAM_12.1-1	BAM_12.1-1	yes	yes	yes	yes	yes	CESiberia_2n	BAM_12.1-1	orange	CESiberia_2n	56.80700	124.88904	2	4	0,41	2	A._lyrata	BAM_2022	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
ERR3397904	ERR3397904	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	61.41	8.25	2	2	0,27	2	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR3397905	ERR3397905	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	61.41	8.25	2	2	0,26	2	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR3397906	ERR3397906	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	61.41	8.25	2	3	0,17	2	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR3397907	ERR3397907	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	61.41	8.25	2	2	0,25	2	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR3397908	ERR3397908	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	61.41	8.25	2	3	0,34	2	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR3397909	ERR3397909	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	61.41	8.25	2	3	0,35	2	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR3397910	ERR3397910	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	61.41	8.25	2	2	0,25	2	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR3397911	ERR3397911	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	61.41	8.25	2	3	0,35	1	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR3397912	ERR3397912	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	61.41	8.25	2	2	0,25	2	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR3397913	ERR3397913	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	61.41	8.25	2	2	0,27	2	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR3397914	ERR3397914	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	61.41	8.25	2	2	0,32	2	A._lyrata	Takou_et_al,_2020	published		cohort5		y											
ERR3514858	ERR3514858_4n	yes	yes	no	yes	yes		ERR3514860		Austria_4n	46.78442	17.28775	4	4	0,66	2	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514859	ERR3514859_4n	yes	yes	no	yes	yes		ERR3514860		Austria_4n	46.78442	17.28775	4	4	0,63	3	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514860	ERR3514860_4n	yes	yes	no	yes	yes		ERR3514860		Austria_4n	46.78442	17.28775	4	4	0,70	2	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514864	ERR3514864_4n	yes	yes	no	yes	yes		ERR3514865		Austria_4n	48.29432	15.42614	4	3	0,51	2	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514865	ERR3514865_4n	yes	yes	no	yes	yes		ERR3514865		Austria_4n	48.29432	15.42614	4	4	0,61	4	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514866	ERR3514866_4n	yes	yes	no	yes	yes		ERR3514865		Austria_4n	48.29432	15.42614	4	4	0,58	2	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514869	ERR3514869_4n	yes	yes	no	yes	yes		ERR3514869		Austria_4n	48.09283	16.27073	4	4	0,65	2	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514870	ERR3514870_4n	yes	yes	no	yes	yes		ERR3514869		Austria_4n	48.09283	16.27073	4	4	0,57	1	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514871	ERR3514871_4n	yes	yes	no	yes	yes		ERR3514869		Austria_4n	48.09283	16.27073	4	4	0,60	1	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514872	ERR3514872_4n	yes	yes	no	yes	yes		ERR3514873		Austria_4n	48.39649	15.55268	4	3	0,64	2	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514873	ERR3514873_4n	yes	yes	no	yes	yes		ERR3514873		Austria_4n	48.39649	15.55268	4	4	0,71	2	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514874	ERR3514874_4n	yes	yes	no	yes	yes		ERR3514873		Austria_4n	48.39649	15.55268	4	4	0,69	3	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514875	ERR3514875_4n	yes	yes	no	yes	yes		ERR3514876		Austria_4n	48.3818	15.56031	4	3	0,49	1	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514876	ERR3514876_4n	yes	yes	no	yes	yes		ERR3514876		Austria_4n	48.3818	15.56031	4	4	0,67	3	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514877	ERR3514877_4n	yes	yes	no	yes	yes		ERR3514876		Austria_4n	48.3818	15.56031	4	3	0,52	4	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514878	ERR3514878_4n	yes	yes	no	yes	yes		ERR3514878		Austria_4n	48.07955	16.26718	4	4	0,69	2	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
ERR3514879	ERR3514879_4n	yes	yes	no	yes	yes		ERR3514878		Austria_4n	48.07955	16.26718	4	4	0,58	3	A._lyrata	Marburger_et_al._2019	published		cohort4		y											
